study_id,hypothesis_id,seed,x,value,series
1,H6,1021,T1,0.992895781993866,bias
1,H6,1021,T2,0.9910066723823547,bias
1,H5,1022,0,0.9844124913215637,bias_score
1,H5,1022,0.2,0.9827490448951721,bias_score
1,H5,1022,0.4,0.985241174697876,bias_score
1,H5,1022,0.6,0.9813968539237976,bias_score
1,H5,1022,0.8,0.9836295247077942,bias_score
1,H5,1022,1.0,0.9824631810188293,bias_score
1,H6,1022,T0,0.9856918454170227,bias
1,H6,1022,T1,0.9829772114753723,bias
1,H6,1022,T2,0.9849356412887573,bias
1,H5,1023,0,0.9909703135490417,bias_score
1,H5,1023,0.2,0.9923102855682373,bias_score
1,H5,1023,0.4,0.9890661835670471,bias_score
1,H5,1023,0.6,0.992509663105011,bias_score
1,H5,1023,0.8,0.9919766783714294,bias_score
1,H5,1023,1.0,0.9931793212890625,bias_score
1,H6,1023,T0,0.9901272654533386,bias
1,H6,1023,T1,0.9922915697097778,bias
1,H6,1023,T2,0.9908269047737122,bias
1,H5,1024,0,0.9896485209465027,bias_score
1,H5,1024,0.2,0.9916630983352661,bias_score
1,H5,1024,0.4,0.992301344871521,bias_score
1,H5,1024,0.6,0.9911096096038818,bias_score
1,H5,1024,0.8,0.9885237216949463,bias_score
1,H5,1024,1.0,0.9891095757484436,bias_score
1,H6,1024,T0,0.9905675053596497,bias
1,H6,1024,T1,0.9908496141433716,bias
1,H6,1024,T2,0.9903919100761414,bias
1,H5,1025,0,0.993523359298706,bias_score
1,H5,1025,0.2,0.9914563894271851,bias_score
1,H5,1025,0.4,0.9928698539733887,bias_score
1,H5,1025,0.6,0.9912564754486084,bias_score
1,H5,1025,0.8,0.992561399936676,bias_score
1,H5,1025,1.0,0.9892210364341736,bias_score
1,H6,1025,T0,0.9915612936019897,bias
1,H6,1025,T1,0.9897144436836243,bias
1,H6,1025,T2,0.9919577836990356,bias
1,H5,1026,0,0.9877219796180725,bias_score
1,H5,1026,0.2,0.9910336136817932,bias_score
1,H5,1026,0.4,0.9880284070968628,bias_score
1,H5,1026,0.6,0.9895874261856079,bias_score
1,H5,1026,0.8,0.9875091314315796,bias_score
1,H5,1026,1.0,0.9891928434371948,bias_score
1,H6,1026,T0,0.9883373379707336,bias
1,H6,1026,T1,0.98902428150177,bias
1,H6,1026,T2,0.9888728857040405,bias
1,H5,1027,0,0.9877967834472656,bias_score
1,H5,1027,0.2,0.9907819628715515,bias_score
1,H5,1027,0.4,0.9892290234565735,bias_score
1,H5,1027,0.6,0.9876953959465027,bias_score
1,H5,1027,0.8,0.9898329377174377,bias_score
1,H5,1027,1.0,0.9863864779472351,bias_score
1,H6,1027,T0,0.987309455871582,bias
1,H6,1027,T1,0.9902722239494324,bias
1,H6,1027,T2,0.9912120699882507,bias
1,H5,1028,0,0.9864255785942078,bias_score
1,H5,1028,0.2,0.9884558320045471,bias_score
1,H5,1028,0.4,0.9888653755187988,bias_score
1,H5,1028,0.6,0.9879305362701416,bias_score
1,H5,1028,0.8,0.9905830025672913,bias_score
1,H5,1028,1.0,0.9896507263183594,bias_score
1,H6,1028,T0,0.988364040851593,bias
1,H6,1028,T1,0.9891249537467957,bias
1,H6,1028,T2,0.9864805936813354,bias
1,H5,1029,0,0.9911469221115112,bias_score
1,H5,1029,0.2,0.987609326839447,bias_score
1,H5,1029,0.4,0.991564154624939,bias_score
1,H5,1029,0.6,0.9914270639419556,bias_score
1,H5,1029,0.8,0.9903494715690613,bias_score
1,H5,1029,1.0,0.9884936809539795,bias_score
1,H6,1029,T0,0.9908757209777832,bias
1,H6,1029,T1,0.9906527400016785,bias
1,H6,1029,T2,0.9895274043083191,bias
1,H5,1030,0,0.9919998645782471,bias_score
1,H5,1030,0.2,0.9915741682052612,bias_score
1,H5,1030,0.4,0.9947197437286377,bias_score
1,H5,1030,0.6,0.9927213191986084,bias_score
1,H5,1030,0.8,0.9915609955787659,bias_score
1,H5,1030,1.0,0.9948877692222595,bias_score
1,H6,1030,T0,0.9932829141616821,bias
1,H6,1030,T1,0.9928248524665833,bias
1,H6,1030,T2,0.9934698939323425,bias
1,H5,1031,0,0.9846170544624329,bias_score
1,H5,1031,0.2,0.9872523546218872,bias_score
1,H5,1031,0.4,0.9871179461479187,bias_score
